/Pdrop X,/Pdrop Y
1.280580000000016e-06,2.847015671705913e-14
1.280581000000016e-06,2.84980895449621e-14
1.280582000000016e-06,2.852607613484957e-14
1.280583000000016e-06,2.855411660791821e-14
1.280584000000016e-06,2.858221108567542e-14
1.280585000000016e-06,2.861035969001281e-14
1.280586000000016e-06,2.863856254314439e-14
1.280587000000016e-06,2.866681976764153e-14
1.280588000000016e-06,2.869513148642376e-14
1.280589000000016e-06,2.872349782277111e-14
1.280590000000016e-06,2.875191890029912e-14
1.280591000000016e-06,2.878039484298545e-14
1.280592000000016e-06,2.88089257751708e-14
1.280593000000016e-06,2.883751182154007e-14
1.280594000000016e-06,2.886615310713084e-14
1.280595000000016e-06,2.889484975735393e-14
1.280596000000016e-06,2.892360189797509e-14
1.280597000000017e-06,2.895240965511403e-14
1.280598000000017e-06,2.898127315525186e-14
1.280599000000017e-06,2.901019252524284e-14
1.280600000000017e-06,2.903916789229553e-14
1.280601000000017e-06,2.906819938399175e-14
1.280602000000017e-06,2.909728712827417e-14
1.280603000000017e-06,2.912643125345418e-14
1.280604000000017e-06,2.915563188821447e-14
1.280605000000017e-06,2.918488916160283e-14
1.280606000000017e-06,2.9214203203053e-14
1.280607000000017e-06,2.924357414234559e-14
1.280608000000017e-06,2.92730021096667e-14
1.280609000000017e-06,2.930248723554695e-14
1.280610000000017e-06,2.933202965091407e-14
1.280611000000017e-06,2.936162948707419e-14
1.280612000000017e-06,2.939128687569978e-14
1.280613000000017e-06,2.942100194884615e-14
1.280614000000017e-06,2.94507748389618e-14
1.280615000000017e-06,2.948060567886407e-14
1.280616000000017e-06,2.951049460176435e-14
1.280617000000017e-06,2.954044174125092e-14
1.280618000000017e-06,2.95704472313169e-14
1.280619000000017e-06,2.96005112063138e-14
1.280620000000017e-06,2.963063380100412e-14
1.280621000000017e-06,2.966081515053467e-14
1.280622000000017e-06,2.969105539045226e-14
1.280623000000017e-06,2.972135465668394e-14
1.280624000000017e-06,2.975171308556616e-14
1.280625000000017e-06,2.978213081380701e-14
1.280626000000017e-06,2.981260797853615e-14
1.280627000000017e-06,2.984314471727373e-14
1.280628000000017e-06,2.987374116794415e-14
1.280629000000017e-06,2.990439746885975e-14
